ID,num,MES,DIA DE LA SEMANA,FECHA DEL  HECHO,AÑO,TRIMESTRE,FRANJA 24 HS,HORA DEL HECHO,TIPO DE DELITO,CANTIDAD DE VICTIMAS,LATITUD,LONGITUD,COMUNA,BARRIO,SELECTED
123203,158342,Noviembre,Martes,14/11/2017,2017,4,14,14:00:00,Robo (Con violencia),0,-34.616001,-58.530499,Comuna 10,VILLA REAL,0
114885,175597,Octubre,Lunes,02/10/2017,2017,4,19,19:45:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
115150,175640,Octubre,Martes,03/10/2017,2017,4,23,23:30:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
115502,175657,Octubre,Jueves,05/10/2017,2017,4,20,20:45:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
116358,175565,Octubre,Martes,10/10/2017,2017,4,18,18:45:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
117739,175588,Octubre,Miercoles,18/10/2017,2017,4,14,14:30:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
118377,175606,Octubre,Sábado,21/10/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
118435,175608,Octubre,Domingo,22/10/2017,2017,4,10,10:30:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
118686,175612,Octubre,Lunes,23/10/2017,2017,4,18,18:40:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
118729,175611,Octubre,Lunes,23/10/2017,2017,4,21,21:30:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
121395,157982,Noviembre,Domingo,05/11/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
122006,157998,Noviembre,Miercoles,08/11/2017,2017,4,17,17:00:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
123195,157928,Noviembre,Martes,14/11/2017,2017,4,13,13:35:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
123908,157940,Noviembre,Viernes,17/11/2017,2017,4,21,21:15:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
125938,157968,Noviembre,Martes,28/11/2017,2017,4,15,15:30:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
126387,157977,Noviembre,Jueves,30/11/2017,2017,4,16,16:30:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
128253,42752,Diciembre,Sábado,09/12/2017,2017,4,16,16:45:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
129345,42671,Diciembre,Jueves,14/12/2017,2017,4,21,21:20:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
131295,42715,Diciembre,Martes,26/12/2017,2017,4,20,20:00:00,Robo (Con violencia),0,-34.638901,-58.529999,Comuna 9,LINIERS,0
121420,158362,Noviembre,Lunes,06/11/2017,2017,4,1,01:00:00,Robo (Con violencia),0,-34.624401,-58.529999,Comuna 10,VILLA REAL,0
115157,176050,Octubre,Miercoles,04/10/2017,2017,4,0,00:30:00,Robo (Con violencia),0,-34.623501,-58.529999,Comuna 10,VILLA REAL,0
130265,43089,Diciembre,Miercoles,20/12/2017,2017,4,9,09:00:00,Robo (Con violencia),0,-34.617699,-58.529999,Comuna 10,VILLA REAL,0
128844,43074,Diciembre,Martes,12/12/2017,2017,4,13,13:00:00,Robo (Con violencia),0,-34.625702,-58.5299,Comuna 10,VILLA REAL,0
131755,43090,Diciembre,Viernes,29/12/2017,2017,4,11,11:00:00,Robo (Con violencia),0,-34.625,-58.5299,Comuna 10,VILLA REAL,0
118341,176040,Octubre,Sábado,21/10/2017,2017,4,16,16:45:00,Robo (Con violencia),0,-34.617901,-58.5299,Comuna 10,VILLA REAL,0
118587,176024,Octubre,Lunes,23/10/2017,2017,4,10,10:30:00,Robo (Con violencia),0,-34.628101,-58.5298,Comuna 10,VERSALLES,0
127087,43070,Diciembre,Lunes,04/12/2017,2017,4,12,12:30:00,Robo (Con violencia),0,-34.629002,-58.529701,Comuna 10,VERSALLES,0
126804,43088,Diciembre,Sábado,02/12/2017,2017,4,17,17:20:00,Robo (Con violencia),0,-34.613899,-58.529701,Comuna 10,VILLA REAL,0
126999,43069,Diciembre,Lunes,04/12/2017,2017,4,0,00:00:00,Robo (Con violencia),0,-34.631001,-58.529598,Comuna 10,VERSALLES,0
119463,176029,Octubre,Viernes,27/10/2017,2017,4,12,12:30:00,Robo (Con violencia),0,-34.633202,-58.529499,Comuna 10,VERSALLES,0
122620,158337,Noviembre,Sábado,11/11/2017,2017,4,6,06:15:00,Robo (Con violencia),0,-34.615101,-58.529499,Comuna 10,VILLA REAL,0
120246,176049,Octubre,Martes,31/10/2017,2017,4,8,08:00:00,Robo (Con violencia),0,-34.618999,-58.529301,Comuna 10,VILLA REAL,0
120711,158350,Noviembre,Jueves,02/11/2017,2017,4,8,08:00:00,Robo (Con violencia),0,-34.618999,-58.529301,Comuna 10,VILLA REAL,0
125041,158315,Noviembre,Jueves,23/11/2017,2017,4,21,21:15:00,Robo (Con violencia),0,-34.634102,-58.529202,Comuna 10,VERSALLES,0
126900,43065,Diciembre,Domingo,03/12/2017,2017,4,7,07:15:00,Robo (Con violencia),0,-34.627201,-58.529202,Comuna 10,VERSALLES,0
118216,176039,Octubre,Viernes,20/10/2017,2017,4,21,21:30:00,Robo (Con violencia),0,-34.622898,-58.529202,Comuna 10,VILLA REAL,0
130016,43085,Diciembre,Lunes,18/12/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.612801,-58.529202,Comuna 10,VILLA REAL,0
122005,157997,Noviembre,Miercoles,08/11/2017,2017,4,17,17:00:00,Robo (Con violencia),0,-34.638802,-58.529099,Comuna 9,LINIERS,0
128710,43047,Diciembre,Lunes,11/12/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.631001,-58.529099,Comuna 10,VERSALLES,0
124173,158348,Noviembre,Domingo,19/11/2017,2017,4,14,14:45:00,Robo (Con violencia),0,-34.613499,-58.529099,Comuna 10,VILLA REAL,0
121657,157988,Noviembre,Martes,07/11/2017,2017,4,1,01:00:00,Robo (Con violencia),0,-34.640499,-58.528999,Comuna 9,LINIERS,0
123202,157927,Noviembre,Martes,14/11/2017,2017,4,14,14:00:00,Robo (Con violencia),0,-34.640499,-58.528999,Comuna 9,LINIERS,0
130049,42690,Diciembre,Martes,19/12/2017,2017,4,5,05:00:00,Robo (Con violencia),0,-34.640499,-58.528999,Comuna 9,LINIERS,0
127041,42729,Diciembre,Lunes,04/12/2017,2017,4,7,07:55:00,Robo (Con violencia),0,-34.640301,-58.528999,Comuna 9,LINIERS,0
125117,157959,Noviembre,Viernes,24/11/2017,2017,4,8,08:45:00,Robo (Con violencia),0,-34.654301,-58.5289,Comuna 9,LINIERS,0
114728,175559,Octubre,Domingo,01/10/2017,2017,4,10,10:30:00,Robo (Con violencia),0,-34.641701,-58.5289,Comuna 9,LINIERS,0
126346,157976,Noviembre,Jueves,30/11/2017,2017,4,13,13:30:00,Robo (Con violencia),0,-34.641701,-58.5289,Comuna 9,LINIERS,0
118777,175617,Octubre,Martes,24/10/2017,2017,4,5,05:30:00,Robo (Con violencia),0,-34.640701,-58.528801,Comuna 9,LINIERS,0
123671,158344,Noviembre,Jueves,16/11/2017,2017,4,18,18:30:00,Robo (Con violencia),0,-34.6134,-58.528801,Comuna 10,VILLA REAL,0
119614,175635,Octubre,Sábado,28/10/2017,2017,4,4,04:10:00,Robo (Con violencia),0,-34.646,-58.528702,Comuna 9,LINIERS,0
120846,157949,Noviembre,Jueves,02/11/2017,2017,4,20,20:45:00,Robo (Con violencia),0,-34.646,-58.528702,Comuna 9,LINIERS,0
123294,157926,Noviembre,Martes,14/11/2017,2017,4,20,20:55:00,Robo (Con violencia),0,-34.646,-58.528702,Comuna 9,LINIERS,0
118239,175605,Octubre,Sábado,21/10/2017,2017,4,1,01:15:00,Robo (Con violencia),0,-34.645901,-58.528702,Comuna 9,LINIERS,0
129812,42684,Diciembre,Domingo,17/12/2017,2017,4,21,21:45:00,Robo (Con violencia),0,-34.645901,-58.528702,Comuna 9,LINIERS,0
117876,175593,Octubre,Jueves,19/10/2017,2017,4,11,11:30:00,Robo (Con violencia),0,-34.644901,-58.528702,Comuna 9,LINIERS,0
130082,42689,Diciembre,Martes,19/12/2017,2017,4,9,09:45:00,Robo (Con violencia),0,-34.641399,-58.528702,Comuna 9,LINIERS,0
115737,175659,Octubre,Viernes,06/10/2017,2017,4,21,21:10:00,Robo (Con violencia),0,-34.6376,-58.528702,Comuna 9,LINIERS,0
122024,158334,Noviembre,Miercoles,08/11/2017,2017,4,18,18:00:00,Robo (Con violencia),0,-34.633099,-58.528702,Comuna 10,VERSALLES,0
121487,158331,Noviembre,Lunes,06/11/2017,2017,4,11,11:30:00,Robo (Con violencia),0,-34.630901,-58.528702,Comuna 10,VERSALLES,0
123779,158345,Noviembre,Viernes,17/11/2017,2017,4,11,11:15:00,Robo (Con violencia),0,-34.623901,-58.528702,Comuna 10,VILLA REAL,0
126828,43087,Diciembre,Sábado,02/12/2017,2017,4,19,19:00:00,Robo (Con violencia),0,-34.623901,-58.528702,Comuna 10,VILLA REAL,0
127185,43091,Diciembre,Lunes,04/12/2017,2017,4,19,19:00:00,Robo (Con violencia),0,-34.623901,-58.528702,Comuna 10,VILLA REAL,0
124496,158351,Noviembre,Martes,21/11/2017,2017,4,16,16:03:00,Robo (Con violencia),0,-34.623199,-58.528702,Comuna 10,VILLA REAL,0
123025,158339,Noviembre,Lunes,13/11/2017,2017,4,16,16:10:00,Robo (Con violencia),0,-34.620399,-58.528702,Comuna 10,VILLA REAL,0
123224,158341,Noviembre,Martes,14/11/2017,2017,4,16,16:10:00,Robo (Con violencia),0,-34.620399,-58.528702,Comuna 10,VILLA REAL,0
117833,175590,Octubre,Jueves,19/10/2017,2017,4,0,00:30:00,Robo (Con violencia),0,-34.644699,-58.528599,Comuna 9,LINIERS,0
115237,175649,Octubre,Miercoles,04/10/2017,2017,4,14,14:45:00,Robo (Con violencia),0,-34.6427,-58.528599,Comuna 9,LINIERS,0
128531,42657,Diciembre,Lunes,11/12/2017,2017,4,7,07:00:00,Robo (Con violencia),0,-34.6427,-58.528599,Comuna 9,LINIERS,0
116333,175564,Octubre,Martes,10/10/2017,2017,4,16,16:30:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
117087,175576,Octubre,Sábado,14/10/2017,2017,4,19,19:45:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
119695,175633,Octubre,Sábado,28/10/2017,2017,4,14,14:40:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
119731,175634,Octubre,Sábado,28/10/2017,2017,4,17,17:00:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
122072,157996,Noviembre,Miercoles,08/11/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
124003,157943,Noviembre,Sábado,18/11/2017,2017,4,12,12:15:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
125476,157963,Noviembre,Sábado,25/11/2017,2017,4,22,22:30:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
127045,42728,Diciembre,Lunes,04/12/2017,2017,4,8,08:30:00,Robo (Con violencia),0,-34.639301,-58.528599,Comuna 9,LINIERS,0
131965,42723,Diciembre,Sábado,30/12/2017,2017,4,20,20:00:00,Robo (Con violencia),0,-34.6395,-58.5285,Comuna 9,LINIERS,0
116773,176022,Octubre,Jueves,12/10/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.633499,-58.5284,Comuna 10,VERSALLES,0
125524,158358,Noviembre,Domingo,26/11/2017,2017,4,10,10:30:00,Robo (Con violencia),0,-34.613201,-58.5284,Comuna 10,VILLA REAL,0
122985,157920,Noviembre,Lunes,13/11/2017,2017,4,13,13:00:00,Robo (Con violencia),0,-34.639599,-58.528301,Comuna 9,LINIERS,0
123558,157932,Noviembre,Jueves,16/11/2017,2017,4,9,09:00:00,Robo (Con violencia),0,-34.638199,-58.528301,Comuna 9,LINIERS,0
117393,176037,Octubre,Lunes,16/10/2017,2017,4,23,23:00:00,Robo (Con violencia),0,-34.616501,-58.528301,Comuna 10,VILLA REAL,0
129521,42676,Diciembre,Viernes,15/12/2017,2017,4,20,20:00:00,Robo (Con violencia),0,-34.6395,-58.528198,Comuna 9,LINIERS,0
130150,43054,Diciembre,Martes,19/12/2017,2017,4,18,18:15:00,Robo (Con violencia),0,-34.6348,-58.528198,Comuna 10,VERSALLES,0
123251,158340,Noviembre,Martes,14/11/2017,2017,4,18,18:15:00,Robo (Con violencia),0,-34.611801,-58.528198,Comuna 10,VILLA REAL,0
129376,43079,Diciembre,Viernes,15/12/2017,2017,4,2,02:30:00,Robo (Con violencia),0,-34.611801,-58.528198,Comuna 10,VILLA REAL,0
118814,175616,Octubre,Martes,24/10/2017,2017,4,12,12:00:00,Robo (Con violencia),0,-34.6371,-58.528099,Comuna 9,LINIERS,0
131035,42713,Diciembre,Domingo,24/12/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.636299,-58.528099,Comuna 9,LINIERS,0
123834,158310,Noviembre,Viernes,17/11/2017,2017,4,16,16:15:00,Robo (Con violencia),0,-34.630798,-58.528099,Comuna 10,VERSALLES,0
115518,175656,Octubre,Jueves,05/10/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.6469,-58.528,Comuna 9,LINIERS,0
128393,42656,Diciembre,Domingo,10/12/2017,2017,4,8,08:45:00,Robo (Con violencia),0,-34.637901,-58.528,Comuna 9,LINIERS,0
115517,175655,Octubre,Jueves,05/10/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.638599,-58.527901,Comuna 9,LINIERS,0
118319,175604,Octubre,Sábado,21/10/2017,2017,4,14,14:15:00,Robo (Con violencia),0,-34.638599,-58.527901,Comuna 9,LINIERS,0
115747,175665,Octubre,Viernes,06/10/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.637402,-58.527901,Comuna 9,LINIERS,0
118152,175598,Octubre,Viernes,20/10/2017,2017,4,17,17:30:00,Robo (Con violencia),0,-34.637299,-58.527901,Comuna 9,LINIERS,0
124912,158314,Noviembre,Jueves,23/11/2017,2017,4,11,11:30:00,Robo (Con violencia),0,-34.630699,-58.527901,Comuna 10,VERSALLES,0
120095,176046,Octubre,Lunes,30/10/2017,2017,4,16,16:00:00,Robo (Con violencia),0,-34.616299,-58.527901,Comuna 10,VILLA REAL,0
116872,175572,Octubre,Viernes,13/10/2017,2017,4,16,16:15:00,Robo (Con violencia),0,-34.638802,-58.527802,Comuna 9,LINIERS,0
119199,175623,Octubre,Jueves,26/10/2017,2017,4,6,06:00:00,Robo (Con violencia),0,-34.638802,-58.527802,Comuna 9,LINIERS,0
121411,157981,Noviembre,Domingo,05/11/2017,2017,4,23,23:30:00,Robo (Con violencia),0,-34.638802,-58.527802,Comuna 9,LINIERS,0
121984,157995,Noviembre,Miercoles,08/11/2017,2017,4,15,15:00:00,Robo (Con violencia),0,-34.638802,-58.527802,Comuna 9,LINIERS,0
127149,42727,Diciembre,Lunes,04/12/2017,2017,4,16,16:00:00,Robo (Con violencia),0,-34.638802,-58.527802,Comuna 9,LINIERS,0
116146,175674,Octubre,Lunes,09/10/2017,2017,4,17,17:30:00,Robo (Con violencia),0,-34.638401,-58.527802,Comuna 9,LINIERS,0
124382,157951,Noviembre,Martes,21/11/2017,2017,4,3,03:00:00,Robo (Con violencia),0,-34.638401,-58.527802,Comuna 9,LINIERS,0
119086,176043,Octubre,Miercoles,25/10/2017,2017,4,17,17:30:00,Robo (Con violencia),0,-34.619701,-58.527802,Comuna 10,VILLA REAL,0
120117,175645,Octubre,Lunes,30/10/2017,2017,4,18,18:00:00,Robo (Con violencia),0,-34.639198,-58.527699,Comuna 9,LINIERS,0
121828,157987,Noviembre,Martes,07/11/2017,2017,4,20,20:45:00,Robo (Con violencia),0,-34.639198,-58.527699,Comuna 9,LINIERS,0
122071,157994,Noviembre,Miercoles,08/11/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.639198,-58.527699,Comuna 9,LINIERS,0
124051,157942,Noviembre,Sábado,18/11/2017,2017,4,18,18:30:00,Robo (Con violencia),0,-34.639198,-58.527699,Comuna 9,LINIERS,0
128105,42748,Diciembre,Viernes,08/12/2017,2017,4,18,18:00:00,Robo (Con violencia),0,-34.639198,-58.527699,Comuna 9,LINIERS,0
128933,42664,Diciembre,Martes,12/12/2017,2017,4,19,19:30:00,Robo (Con violencia),0,-34.639198,-58.527699,Comuna 9,LINIERS,0
120821,157948,Noviembre,Jueves,02/11/2017,2017,4,19,19:30:00,Robo (Con violencia),0,-34.642502,-58.527599,Comuna 9,LINIERS,0
120669,157907,Noviembre,Miercoles,01/11/2017,2017,4,23,23:00:00,Robo (Con violencia),0,-34.642399,-58.527599,Comuna 9,LINIERS,0
122813,157917,Noviembre,Domingo,12/11/2017,2017,4,13,13:10:00,Robo (Con violencia),0,-34.642399,-58.527599,Comuna 9,LINIERS,0
116639,175568,Octubre,Miercoles,11/10/2017,2017,4,23,23:30:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
119578,175627,Octubre,Viernes,27/10/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
119609,175632,Octubre,Sábado,28/10/2017,2017,4,3,03:00:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
121876,157993,Noviembre,Miercoles,08/11/2017,2017,4,0,00:15:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
124053,157941,Noviembre,Sábado,18/11/2017,2017,4,18,18:45:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
125171,157958,Noviembre,Viernes,24/11/2017,2017,4,14,14:00:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
126287,157975,Noviembre,Jueves,30/11/2017,2017,4,6,06:45:00,Robo (Con violencia),0,-34.6404,-58.527599,Comuna 9,LINIERS,0
126807,43328,Diciembre,Sábado,02/12/2017,2017,4,17,17:30:00,Robo (Con violencia),0,-34.610802,-58.527599,Comuna 11,VILLA DEVOTO,0
115487,176347,Octubre,Jueves,05/10/2017,2017,4,19,19:47:00,Robo (Con violencia),0,-34.6106,-58.527599,Comuna 11,VILLA DEVOTO,0
117814,175587,Octubre,Miercoles,18/10/2017,2017,4,21,21:45:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
118259,175603,Octubre,Sábado,21/10/2017,2017,4,4,04:00:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
128160,42751,Diciembre,Sábado,09/12/2017,2017,4,0,00:15:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
128414,42655,Diciembre,Domingo,10/12/2017,2017,4,14,14:00:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
128901,42663,Diciembre,Martes,12/12/2017,2017,4,17,17:45:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
129738,42683,Diciembre,Domingo,17/12/2017,2017,4,10,10:45:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
130612,42708,Diciembre,Viernes,22/12/2017,2017,4,1,01:45:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
132020,42726,Diciembre,Domingo,31/12/2017,2017,4,8,08:00:00,Robo (Con violencia),0,-34.641701,-58.5275,Comuna 9,LINIERS,0
124014,158587,Noviembre,Sábado,18/11/2017,2017,4,13,13:45:00,Robo (Con violencia),0,-34.611401,-58.5275,Comuna 11,VILLA DEVOTO,0
115012,176336,Octubre,Martes,03/10/2017,2017,4,13,13:30:00,Robo (Con violencia),0,-34.609699,-58.5275,Comuna 11,VILLA DEVOTO,0
116758,175571,Octubre,Jueves,12/10/2017,2017,4,20,20:30:00,Robo (Con violencia),0,-34.643799,-58.527401,Comuna 9,LINIERS,0
122027,157992,Noviembre,Miercoles,08/11/2017,2017,4,18,18:35:00,Robo (Con violencia),0,-34.643799,-58.527401,Comuna 9,LINIERS,0
126249,157969,Noviembre,Miercoles,29/11/2017,2017,4,22,22:30:00,Robo (Con violencia),0,-34.642899,-58.527401,Comuna 9,LINIERS,0
120182,175644,Octubre,Lunes,30/10/2017,2017,4,22,22:30:00,Robo (Con violencia),0,-34.6423,-58.527401,Comuna 9,LINIERS,0
129229,42670,Diciembre,Jueves,14/12/2017,2017,4,12,12:00:00,Robo (Con violencia),0,-34.6362,-58.527401,Comuna 9,LINIERS,0
116439,176036,Octubre,Miercoles,11/10/2017,2017,4,2,02:00:00,Robo (Con violencia),0,-34.6194,-58.527401,Comuna 10,VILLA REAL,0
123726,157937,Noviembre,Jueves,16/11/2017,2017,4,23,23:30:00,Robo (Con violencia),0,-34.6502,-58.527199,Comuna 9,LINIERS,0
130665,43058,Diciembre,Viernes,22/12/2017,2017,4,12,12:00:00,Robo (Con violencia),0,-34.632099,-58.527199,Comuna 10,VERSALLES,0
131766,43063,Diciembre,Viernes,29/12/2017,2017,4,12,12:00:00,Robo (Con violencia),0,-34.632099,-58.527199,Comuna 10,VERSALLES,0
117914,176301,Octubre,Jueves,19/10/2017,2017,4,14,14:30:00,Robo (Con violencia),0,-34.610001,-58.527199,Comuna 11,VILLA DEVOTO,0
119924,176030,Octubre,Domingo,29/10/2017,2017,4,20,20:30:00,Robo (Con violencia),0,-34.632999,-58.5271,Comuna 10,VERSALLES,0
116183,176033,Octubre,Lunes,09/10/2017,2017,4,21,21:30:00,Robo (Con violencia),0,-34.634701,-58.526901,Comuna 10,VERSALLES,0
122599,158304,Noviembre,Sábado,11/11/2017,2017,4,3,03:05:00,Robo (Con violencia),0,-34.634701,-58.526901,Comuna 10,VERSALLES,0
126039,158323,Noviembre,Martes,28/11/2017,2017,4,23,23:00:00,Robo (Con violencia),0,-34.634701,-58.526901,Comuna 10,VERSALLES,0
118326,175602,Octubre,Sábado,21/10/2017,2017,4,15,15:00:00,Robo (Con violencia),0,-34.636902,-58.526798,Comuna 9,LINIERS,0
127715,43071,Diciembre,Miercoles,06/12/2017,2017,4,19,19:45:00,Robo (Con violencia),0,-34.627899,-58.526798,Comuna 10,VERSALLES,0
123937,157939,Noviembre,Viernes,17/11/2017,2017,4,23,23:00:00,Robo (Con violencia),0,-34.647301,-58.526699,Comuna 9,LINIERS,0
119608,175631,Octubre,Sábado,28/10/2017,2017,4,3,03:00:00,Robo (Con violencia),0,-34.637501,-58.526699,Comuna 9,LINIERS,0
129756,43082,Diciembre,Domingo,17/12/2017,2017,4,14,14:45:00,Robo (Con violencia),0,-34.620499,-58.526699,Comuna 10,VILLA REAL,0
129925,43084,Diciembre,Lunes,18/12/2017,2017,4,14,14:45:00,Robo (Con violencia),0,-34.620499,-58.526699,Comuna 10,VILLA REAL,0
122224,157999,Noviembre,Jueves,09/11/2017,2017,4,14,14:45:00,Robo (Con violencia),0,-34.637199,-58.5266,Comuna 9,LINIERS,0
120737,157947,Noviembre,Jueves,02/11/2017,2017,4,11,11:30:00,Robo (Con violencia),0,-34.638302,-58.526501,Comuna 9,LINIERS,0
127462,42731,Diciembre,Martes,05/12/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.638302,-58.526501,Comuna 9,LINIERS,0
127742,42741,Diciembre,Miercoles,06/12/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.638302,-58.526501,Comuna 9,LINIERS,0
129191,42669,Diciembre,Jueves,14/12/2017,2017,4,7,07:00:00,Robo (Con violencia),0,-34.638302,-58.526501,Comuna 9,LINIERS,0
126339,158361,Noviembre,Jueves,30/11/2017,2017,4,13,13:00:00,Robo (Con violencia),0,-34.625099,-58.526501,Comuna 10,VILLA REAL,0
124765,158606,Noviembre,Miercoles,22/11/2017,2017,4,18,18:00:00,Robo (Con violencia),0,-34.6119,-58.526501,Comuna 11,VILLA DEVOTO,0
123274,157925,Noviembre,Martes,14/11/2017,2017,4,19,19:55:00,Robo (Con violencia),0,-34.653999,-58.526402,Comuna 9,LINIERS,0
118704,175610,Octubre,Lunes,23/10/2017,2017,4,20,20:00:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
120400,175648,Octubre,Martes,31/10/2017,2017,4,21,21:00:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
121041,157974,Noviembre,Viernes,03/11/2017,2017,4,19,19:15:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
121049,157973,Noviembre,Viernes,03/11/2017,2017,4,19,19:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
121261,157980,Noviembre,Sábado,04/11/2017,2017,4,21,21:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
121628,157984,Noviembre,Lunes,06/11/2017,2017,4,22,22:00:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
126612,42652,Diciembre,Viernes,01/12/2017,2017,4,17,17:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
128040,42747,Diciembre,Viernes,08/12/2017,2017,4,7,07:15:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
128121,42746,Diciembre,Viernes,08/12/2017,2017,4,20,20:00:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
128439,42654,Diciembre,Domingo,10/12/2017,2017,4,17,17:45:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
128648,42659,Diciembre,Lunes,11/12/2017,2017,4,16,16:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
128649,42660,Diciembre,Lunes,11/12/2017,2017,4,16,16:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
129657,42681,Diciembre,Sábado,16/12/2017,2017,4,19,19:15:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
129696,42680,Diciembre,Sábado,16/12/2017,2017,4,22,22:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
130474,42703,Diciembre,Jueves,21/12/2017,2017,4,12,12:00:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
130800,42707,Diciembre,Viernes,22/12/2017,2017,4,23,23:30:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
130830,42710,Diciembre,Sábado,23/12/2017,2017,4,10,10:00:00,Robo (Con violencia),0,-34.639099,-58.526402,Comuna 9,LINIERS,0
120376,176048,Octubre,Martes,31/10/2017,2017,4,19,19:30:00,Robo (Con violencia),0,-34.623901,-58.526402,Comuna 10,VILLA REAL,0
120820,158349,Noviembre,Jueves,02/11/2017,2017,4,19,19:30:00,Robo (Con violencia),0,-34.623901,-58.526402,Comuna 10,VILLA REAL,0
129326,43076,Diciembre,Jueves,14/12/2017,2017,4,20,20:15:00,Robo (Con violencia),0,-34.613998,-58.526402,Comuna 10,VILLA REAL,0
